gene_id	gene_name	gene_type	strand	TPM.H1	FPKM.H1	SPIN.H1	TPM.HFF	FPKM.HFF	SPIN.HFF	ABC_h3k4me3.H1	ABC_h3k4me3.HFF	ABC_pol2.H1	ABC_pol2.HFF
ENSG00000124713.5	GNMT	protein_coding	+	0.99	0.87	Speckle	0.09	0.08	Speckle	282.747	5.19065	143.803	2.18082
ENSG00000124721.17	DNAH8	protein_coding	+	0.06	0.05	Interior_Act2	0	0	Interior_Repr2	138.698	5.31023	40.0592	2.49388
ENSG00000124731.12	TREM1	protein_coding	-	0	0	Speckle	0	0	Interior_Repr1	1.69885	0	0.822985	0
ENSG00000124733.4	MEA1	protein_coding	-	50.56	44.24	Speckle	120.9	97.3	Speckle	515.015	383.232	337.289	225.612
ENSG00000124743.5	KLHL31	protein_coding	-	0.21	0.19	Interior_Repr1	0.19	0.15	Interior_Act3	56.2629	8.62401	9.86978	7.89885
ENSG00000124749.16	COL21A1	protein_coding	-	1.8	1.57	Near_Lm2	0	0	Interior_Act3	0	5.8905	0	2.36714
ENSG00000124762.13	CDKN1A	protein_coding	+	8.14	7.12	Speckle	333.08	268.06	Speckle	0	369.981	0	431.037
ENSG00000124766.6	SOX4	protein_coding	+	90.5	79.19	Interior_Act3	5.22	4.2	Interior_Repr2	1023.63	189.809	407.058	132.95
ENSG00000124767.6	GLO1	protein_coding	-	91.54	80.11	Interior_Act1	49.38	39.74	Interior_Repr2	0	0	0	0
ENSG00000124772.11	CPNE5	protein_coding	-	0.47	0.41	Speckle	0.22	0.17	Speckle	44.3125	47.592	14.1909	13.0339
ENSG00000124780.13	KCNK17	protein_coding	-	1.54	1.35	Interior_Act2	0	0	Interior_Repr2	0	0	0	0
ENSG00000124782.19	RREB1	protein_coding	+	18.65	16.32	Interior_Act1	5.43	4.37	Interior_Act1	215.071	115.957	419.481	98.9769
ENSG00000124783.13	SSR1	protein_coding	-	63	55.13	Interior_Act1	44.36	35.7	Interior_Act1	72.0288	61.9947	29.3934	25.0154
ENSG00000124784.8	RIOK1	protein_coding	+	14.46	12.66	Interior_Act3	8.08	6.5	Interior_Act1	166.651	853.74	25.546	272.081
ENSG00000124785.8	NRN1	protein_coding	-	0.14	0.12	Interior_Repr1	0	0	Interior_Repr2	26.551	4.09946	12.3819	1.64075
ENSG00000124786.11	SLC35B3	protein_coding	-	5.24	4.59	Lamina	11.1	8.94	Lamina	0	56.452	0	14.2564
ENSG00000124787.13	RPP40	protein_coding	-	8.43	7.37	Interior_Act1	8.77	7.05	Interior_Act1	28.3901	72.8033	13.386	34.3964
ENSG00000124788.18	ATXN1	protein_coding	-	2.15	1.88	Interior_Act3	12.46	10.03	Interior_Act1	933.413	990.143	218.651	461.595
ENSG00000124789.11	NUP153	protein_coding	-	45.52	39.83	Interior_Act3	6.64	5.35	Interior_Act1	41.3639	44.2908	21.4085	25.9788
ENSG00000124795.15	DEK	protein_coding	-	122.57	107.26	Interior_Act3	12.8	10.3	Interior_Act1	35.8571	99.7407	38.2411	99.7477
ENSG00000124802.11	EEF1E1	protein_coding	-	52	45.5	Interior_Act3	21.19	17.05	Interior_Repr2	31.4371	62.5464	64.5665	48.8879
ENSG00000124812.14	CRISP1	protein_coding	-	0	0	Lamina	0	0	Lamina	0.858286	5.8325	0.404659	3.25731
ENSG00000124813.21	RUNX2	protein_coding	+	0.65	0.56	Interior_Repr2	3.94	3.17	Interior_Act1	194.219	792.022	37.7279	197.98
ENSG00000124818.15	OPN5	protein_coding	+	0	0	Lamina	0	0	Lamina	9.70584	47.9427	4.60106	48.9434
ENSG00000124827.6	GCM2	protein_coding	-	0	0	Interior_Act3	0	0	Interior_Repr2	4.44731	0	1.94122	0
ENSG00000124831.18	LRRFIP1	protein_coding	+	40.72	35.63	Speckle	32.86	26.45	Interior_Act1	124.79	530.66	62.3996	385.361
ENSG00000124839.12	RAB17	protein_coding	-	44.76	39.17	Speckle	0.03	0.02	Interior_Act1	196.486	73.4477	249.977	25.4752
ENSG00000124875.9	CXCL6	protein_coding	+	4.28	3.75	Interior_Act3	0	0	Interior_Act3	30.9062	0	6.58202	0
ENSG00000124882.3	EREG	protein_coding	+	0.01	0.01	Lamina	3.38	2.72	Interior_Act3	0	46.3421	0	17.8803
ENSG00000124900.12	TRIM51	protein_coding	+	0	0	Near_Lm1	0	0	Near_Lm2	0	0	0	0
ENSG00000124920.13	MYRF	protein_coding	+	3.2	2.8	Speckle	0.07	0.06	Speckle	0	0	0	0
ENSG00000124935.3	SCGB1D2	protein_coding	+	0	0	Speckle	0	0	Interior_Act2	0	0	0	0
ENSG00000124939.5	SCGB2A1	protein_coding	+	0	0	Speckle	0	0	Interior_Act2	1.76785	4.09092	1.16877	1.66668
ENSG00000124942.13	AHNAK	protein_coding	-	3.1	2.71	Speckle	53.37	42.95	Speckle	173.591	383.096	89.4431	254.486
ENSG00000125037.12	EMC3	protein_coding	-	20.17	17.65	Interior_Act1	61.12	49.19	Interior_Act1	454.436	210.04	128.718	40.9936
ENSG00000125046.14	SSUH2	protein_coding	-	0.37	0.32	Interior_Act3	0.67	0.54	Interior_Act1	0	77.6524	0	148.949
ENSG00000125084.11	WNT1	protein_coding	+	0	0	Speckle	0	0	Speckle	632.833	81.1101	121.037	13.9052
ENSG00000125089.16	SH3TC1	protein_coding	+	0.1	0.08	Interior_Act2	0.44	0.35	Interior_Act2	13.5498	20.1989	1.26974	12.4787
ENSG00000125107.17	CNOT1	protein_coding	-	164.19	143.68	Interior_Act1	29.85	24.02	Interior_Repr1	95.1339	0	37.1792	0
ENSG00000125122.15	LRRC29	protein_coding	-	0.25	0.22	Speckle	4.48	3.6	Speckle	601.498	741.183	147.51	127.181
ENSG00000125124.11	BBS2	protein_coding	-	6.62	5.79	Interior_Act2	24.76	19.93	Interior_Act1	5.49892	214.207	0.654646	52.3455
ENSG00000125144.13	MT1G	protein_coding	-	9.53	8.34	Interior_Act2	2.37	1.91	Speckle	131.778	0	95.5903	0
ENSG00000125148.6	MT2A	protein_coding	+	5.11	4.47	Interior_Act2	566.81	456.16	Speckle	127.05	600.735	50.5166	330.574
ENSG00000125149.11	C16orf70	protein_coding	+	9.99	8.75	Speckle	8.11	6.53	Speckle	61.9947	400.153	2.13804	59.0568
ENSG00000125166.12	GOT2	protein_coding	-	119.56	104.62	Interior_Act1	42.8	34.45	Interior_Repr1	73.4897	27.8302	20.3244	1.85866
ENSG00000125170.10	DOK4	protein_coding	-	15.52	13.58	Speckle	14.01	11.27	Speckle	69.5688	202.633	41.0029	37.7279
ENSG00000125207.7	PIWIL1	protein_coding	+	0	0	Interior_Act2	0	0	Interior_Repr1	0.107118	9.4047	0.0377871	3.44942
ENSG00000125245.12	GPR18	protein_coding	-	0	0	Interior_Act1	0	0	Interior_Act1	78.1511	73.2474	20.747	39.5092
ENSG00000125246.15	CLYBL	protein_coding	+	5.28	4.62	Interior_Act1	0.71	0.57	Interior_Repr1	154.147	0	64.8741	0
ENSG00000125247.15	TMTC4	protein_coding	-	22.88	20.02	Interior_Act1	1.34	1.08	Interior_Repr2	14.0408	0	4.26627	0
ENSG00000125249.6	RAP2A	protein_coding	+	23.3	20.39	Interior_Act3	2.92	2.35	Interior_Repr2	0	163.431	0	169.666
ENSG00000125255.6	SLC10A2	protein_coding	-	0	0	Lamina	0	0	Lamina	2.07101	0	0.00347961	0
ENSG00000125257.14	ABCC4	protein_coding	-	7.57	6.63	Interior_Act3	5.68	4.57	Interior_Repr1	24.8851	167.177	5.82378	80.7138
ENSG00000125266.7	EFNB2	protein_coding	-	6.42	5.61	Interior_Act3	4.36	3.51	Interior_Act1	148.923	157.222	94.6515	94.0325
ENSG00000125285.5	SOX21	protein_coding	-	2.08	1.82	Interior_Act3	0	0	Interior_Repr2	33.1548	8.73822	6.7855	1.70837
ENSG00000125304.9	TM9SF2	protein_coding	+	54.49	47.69	Interior_Act1	42.48	34.18	Interior_Act1	19.9096	16.6167	10.6953	5.08197
ENSG00000125319.14	C17orf53	protein_coding	+	10.43	9.13	Speckle	1.76	1.42	Speckle	60.8559	215.059	12.2815	58.6072
ENSG00000125337.17	KIF25	protein_coding	+	1.08	0.94	Interior_Act1	0	0	Interior_Repr1	1.29287	24.271	0.795988	19.3479
ENSG00000125347.13	IRF1	protein_coding	-	4.56	3.99	Interior_Act1	20.87	16.79	Interior_Act1	85.7245	90.5679	151.849	304.315
ENSG00000125351.11	UPF3B	protein_coding	-	11.2	9.8	Interior_Act1	6.09	4.9	Interior_Act1	87.5163	157.954	92.192	78.6966
ENSG00000125352.5	RNF113A	protein_coding	-	7.64	6.68	Interior_Act1	11.58	9.32	Interior_Act1	63.883	248.373	56.9707	126.629
ENSG00000125354.22	SEPT6	protein_coding	-	16.66	14.57	Interior_Act1	10.98	8.84	Interior_Act1	67.312	27.3692	147.619	25.8466
ENSG00000125355.15	TMEM255A	protein_coding	-	0.39	0.34	Interior_Act3	0	0	Interior_Repr1	0	0	0	0
ENSG00000125356.6	NDUFA1	protein_coding	+	37.45	32.77	Interior_Act1	88.4	71.15	Interior_Act1	63.883	248.373	56.9707	126.629
ENSG00000125363.14	AMELX	protein_coding	+	0	0	Lamina	0	0	Interior_Act3	0	0	0	0
ENSG00000125375.14	ATP5S	protein_coding	+	10.9	9.54	Interior_Act1	3.5	2.82	Interior_Act2	163.043	205.736	77.3331	46.8565
ENSG00000125378.15	BMP4	protein_coding	-	2.89	2.53	Interior_Repr1	16.35	13.16	Interior_Act2	195.739	463.231	63.525	207.66
ENSG00000125384.6	PTGER2	protein_coding	+	0.63	0.55	Interior_Repr1	0.37	0.3	Interior_Act2	0	0	0	0
ENSG00000125386.15	FAM193A	protein_coding	+	14.09	12.33	Speckle	17.03	13.7	Speckle	150.907	0	70.4062	0
ENSG00000125388.19	GRK4	protein_coding	+	0.95	0.83	Speckle	5.67	4.56	Speckle	133.173	192.034	56.2905	77.5914
ENSG00000125398.6	SOX9	protein_coding	+	2.65	2.32	Interior_Repr1	0.64	0.51	Interior_Repr2	318.145	138.518	90.5813	36.0592
ENSG00000125409.12	TEKT3	protein_coding	-	1.18	1.03	Interior_Act2	0.72	0.58	Interior_Act2	0	99.7649	0	35.3719
ENSG00000125414.18	MYH2	protein_coding	-	4.82	4.21	Near_Lm1	0	0	Near_Lm1	0	0	0	0
ENSG00000125430.8	HS3ST3B1	protein_coding	+	7.74	6.78	Near_Lm1	1.99	1.6	Near_Lm1	207.738	336.965	72.3052	286.267
ENSG00000125434.10	SLC25A35	protein_coding	-	1.94	1.7	Speckle	5.92	4.77	Speckle	539.18	526.325	256.66	92.6752
ENSG00000125445.10	MRPS7	protein_coding	+	42.65	37.32	Speckle	24.04	19.35	Speckle	272.315	212.774	70.7461	73.4255
ENSG00000125447.17	GGA3	protein_coding	-	32.24	28.21	Speckle	16.14	12.99	Speckle	728.709	3210.21	392.849	1084.34
ENSG00000125449.6	ARMC7	protein_coding	+	7.28	6.37	Speckle	7.65	6.15	Speckle	365.947	448.815	162.747	152.861
ENSG00000125450.10	NUP85	protein_coding	+	52.89	46.29	Speckle	26.58	21.39	Speckle	1371.34	147.25	614.344	63.4356
ENSG00000125454.11	SLC25A19	protein_coding	-	15.36	13.44	Speckle	11.02	8.87	Speckle	168.591	95.6568	52.3884	105.77
ENSG00000125457.14	MIF4GD	protein_coding	-	8.62	7.54	Speckle	6.06	4.88	Speckle	195.345	185.454	160.092	147.375
ENSG00000125458.6	NT5C	protein_coding	-	28	24.5	Speckle	20.14	16.21	Speckle	238.299	137.174	165.124	78.0243
ENSG00000125459.15	MSTO1	protein_coding	+	27.36	23.94	Speckle	33.55	27	Speckle	63.4472	58.8994	25.5906	2.20346
ENSG00000125462.16	C1orf61	protein_coding	-	2.25	1.97	Speckle	0	0	Speckle	67.0335	4.57503	27.0413	1.93524
ENSG00000125482.12	TTF1	protein_coding	-	11.92	10.43	Speckle	6.97	5.61	Interior_Act2	118.518	0	5.47555	0
ENSG00000125484.11	GTF3C4	protein_coding	+	21.07	18.44	Speckle	1.44	1.16	Interior_Act2	237.758	263.379	70.2238	101.678
ENSG00000125485.17	DDX31	protein_coding	-	12.73	11.14	Speckle	5.19	4.18	Interior_Act2	225.821	254.929	66.4899	98.0301
ENSG00000125492.9	BARHL1	protein_coding	+	0	0	Speckle	0	0	Interior_Act2	266.042	79.2629	25.4799	19.784
ENSG00000125498.19	KIR2DL1	protein_coding	+	0	0	Interior_Act2	0	0	Near_Lm1	0	0	0	0
ENSG00000125503.12	PPP1R12C	protein_coding	-	38.39	33.6	Interior_Act2	69.91	56.26	Speckle	588.887	124.255	155.574	31.5353
ENSG00000125505.16	MBOAT7	protein_coding	-	48.82	42.72	Interior_Act2	115.99	93.35	Interior_Act2	0	432.8	0	141.303
ENSG00000125508.3	SRMS	protein_coding	-	0.41	0.36	Speckle	0	0	Speckle	223.877	7.70798	47.0854	4.29793
ENSG00000125510.15	OPRL1	protein_coding	+	0.34	0.29	Speckle	0.53	0.42	Speckle	50.3166	40.8882	15.4876	7.84133
ENSG00000125520.13	SLC2A4RG	protein_coding	+	15.63	13.68	Speckle	93.54	75.28	Speckle	154.527	125.776	102.688	102.031
ENSG00000125522.3	NPBWR2	protein_coding	-	0	0	Speckle	0	0	Speckle	0	0	0	0
ENSG00000125531.6	FNDC11	protein_coding	+	1.4	1.23	Speckle	0	0	Speckle	282.328	7.70798	84.0219	3.31072
ENSG00000125533.5	BHLHE23	protein_coding	-	0.25	0.22	Speckle	0	0	Speckle	41.7344	46.3758	17.8164	28.5997
ENSG00000125534.9	PPDPF	protein_coding	+	74.28	65	Speckle	555.85	447.34	Speckle	310.866	82.1193	145.124	41.3614
ENSG00000125538.11	IL1B	protein_coding	-	0	0	Interior_Act2	4.73	3.81	Interior_Act1	0	20.3043	0	33.7519
ENSG00000125551.18	PLGLB2	protein_coding	+	0	0	Near_Lm1	3.79	3.05	Interior_Act3	0	0	0	0
ENSG00000125571.9	IL37	protein_coding	+	0	0	Interior_Act2	0.43	0.35	Interior_Act1	0	0	0	0
ENSG00000125611.15	CHCHD5	protein_coding	+	14.58	12.76	Interior_Act2	23.88	19.22	Interior_Act1	260.848	50.2486	56.4209	34.8328
ENSG00000125618.16	PAX8	protein_coding	-	0	0	Interior_Repr1	2.64	2.12	Interior_Act1	6.52069	47.9521	1.55883	95.5626
ENSG00000125629.14	INSIG2	protein_coding	+	3.76	3.29	Interior_Repr1	4.71	3.79	Interior_Repr1	71.4114	839.985	40.6024	272.293
ENSG00000125630.15	POLR1B	protein_coding	+	37.24	32.58	Interior_Act2	5.47	4.4	Interior_Act1	200.343	38.1632	19.7611	7.5082
ENSG00000125633.10	CCDC93	protein_coding	-	9.66	8.45	Interior_Repr1	10.64	8.57	Interior_Repr1	23.9783	214.093	4.45134	151.197
ENSG00000125637.15	PSD4	protein_coding	+	0.67	0.59	Interior_Repr1	1.2	0.96	Interior_Act1	109.094	24.4434	38.1391	11.294
ENSG00000125648.14	SLC25A23	protein_coding	-	25.82	22.59	Interior_Act2	31.45	25.31	Interior_Act2	98.595	0	12.1704	0
ENSG00000125650.4	PSPN	protein_coding	-	1.14	0.99	Interior_Act2	0.99	0.8	Speckle	242.967	269.175	47.904	64.7375
ENSG00000125651.13	GTF2F1	protein_coding	-	30.23	26.45	Interior_Act2	37.11	29.87	Speckle	394.11	172.314	91.1171	96.3132
ENSG00000125652.7	ALKBH7	protein_coding	+	35.59	31.14	Interior_Act2	17.04	13.71	Speckle	397.186	238.344	77.0057	132.657
ENSG00000125656.9	CLPP	protein_coding	+	46.36	40.57	Interior_Act2	52.93	42.6	Speckle	215.908	45.3231	12.1185	10.2902
ENSG00000125657.4	TNFSF9	protein_coding	+	0.89	0.78	Interior_Act2	0.28	0.22	Interior_Act2	161.816	0	95.7946	0
ENSG00000125675.17	GRIA3	protein_coding	+	1.42	1.25	Interior_Act3	17.15	13.8	Interior_Act1	0	15.43	0	5.94802
ENSG00000125676.19	THOC2	protein_coding	-	36.93	32.31	Interior_Act3	39.63	31.89	Interior_Act1	0.603453	18.1863	0.00548688	12.6596
ENSG00000125686.11	MED1	protein_coding	-	30.33	26.54	Speckle	6.29	5.06	Speckle	68.5583	15.9049	30.9497	14.0151
ENSG00000125691.12	RPL23	protein_coding	-	1153.54	1009.44	Speckle	1214.24	977.21	Speckle	1134.72	2181.72	356.143	267.368
ENSG00000125695.12	AC046185.1	protein_coding	-	0	0	Speckle	0	0	Speckle	0	0	0	0
ENSG00000125703.14	ATG4C	protein_coding	+	11.93	10.44	Interior_Act1	4.96	3.99	Interior_Repr2	11.8007	0	1.24558	0
ENSG00000125726.10	CD70	protein_coding	-	0.71	0.63	Interior_Act2	0	0	Interior_Act2	28.1206	0	9.64768	0
ENSG00000125730.16	C3	protein_coding	-	3.46	3.03	Interior_Act2	35.47	28.55	Interior_Act2	43.1799	31.5924	20.6352	3.34682
ENSG00000125731.12	SH2D3A	protein_coding	-	11.87	10.39	Interior_Act2	0	0	Interior_Act2	1321.95	28.8321	510.964	13.0979
ENSG00000125733.17	TRIP10	protein_coding	+	37.29	32.63	Interior_Act2	97.1	78.15	Interior_Act2	713.809	206.501	82.3179	49.2796
ENSG00000125734.15	GPR108	protein_coding	-	18.75	16.41	Interior_Act2	64.08	51.57	Interior_Act2	545.323	247.672	82.1922	58.3146
ENSG00000125735.10	TNFSF14	protein_coding	-	0	0	Interior_Act2	0.02	0.02	Interior_Act2	5.58513	0	0.00385562	0
ENSG00000125740.13	FOSB	protein_coding	+	1.43	1.25	Speckle	1.74	1.4	Speckle	365.329	228.34	177.154	70.0107
ENSG00000125741.4	OPA3	protein_coding	-	7.76	6.79	Speckle	4.1	3.3	Speckle	110.644	99.9285	27.9785	52.6584
ENSG00000125743.10	SNRPD2	protein_coding	-	407.57	356.65	Speckle	184.79	148.71	Speckle	534.6	228.811	255.615	115.168
ENSG00000125744.11	RTN2	protein_coding	-	11.33	9.92	Speckle	14.64	11.78	Speckle	334.443	112.971	107.564	7.78248
ENSG00000125746.16	EML2	protein_coding	-	15.44	13.51	Speckle	21.29	17.13	Speckle	714.768	914.704	366.86	413.361
ENSG00000125753.13	VASP	protein_coding	+	72.58	63.51	Speckle	67.91	54.65	Speckle	261.67	303.721	85.3939	37.5174
ENSG00000125755.18	SYMPK	protein_coding	-	50.24	43.97	Speckle	41.01	33	Speckle	904.446	63.899	603.76	26.957
ENSG00000125772.12	GPCPD1	protein_coding	-	3.38	2.96	Interior_Repr1	8.94	7.19	Near_Lm1	46.3758	88.4211	9.95953	55.7294
ENSG00000125775.14	SDCBP2	protein_coding	-	2.24	1.96	Interior_Act2	1.22	0.99	Interior_Act2	47.3888	155.454	32.2788	62.4858
ENSG00000125779.22	PANK2	protein_coding	+	30.85	27	Speckle	22.99	18.5	Speckle	226.372	1033.79	116.149	646.113
ENSG00000125780.11	TGM3	protein_coding	+	0.02	0.02	Interior_Act2	0.07	0.05	Interior_Act2	0	61.0107	0	241.235
ENSG00000125787.11	GNRH2	protein_coding	+	0.44	0.39	Speckle	0.15	0.12	Speckle	123.577	0	52.4029	0
ENSG00000125788.5	DEFB126	protein_coding	+	0	0	Near_Lm1	0	0	Near_Lm1	0	0	0	0
ENSG00000125798.14	FOXA2	protein_coding	-	0.04	0.04	Near_Lm1	0	0	Near_Lm1	10.4895	0	2.88611	0
ENSG00000125810.9	CD93	protein_coding	-	0.04	0.03	Near_Lm1	0	0	Near_Lm1	0	0	0	0
ENSG00000125812.15	GZF1	protein_coding	+	6.4	5.6	Interior_Act2	5.01	4.03	Near_Lm1	130.553	207.077	10.652	70.9275
ENSG00000125813.13	PAX1	protein_coding	+	0	0	Near_Lm1	0	0	Near_Lm1	33.015	5.50012	9.50245	2.42082
ENSG00000125814.17	NAPB	protein_coding	-	6.6	5.78	Interior_Act2	7.11	5.72	Near_Lm1	63.6481	309.067	2.24276	199.818
ENSG00000125815.8	CST8	protein_coding	+	0	0	Interior_Act2	0	0	Near_Lm1	0	0	0	0
ENSG00000125816.4	NKX2-4	protein_coding	-	0.2	0.18	Interior_Act2	0	0	Near_Lm1	1.12996	0	0.82276	0
ENSG00000125817.7	CENPB	protein_coding	-	27.69	24.23	Speckle	27.37	22.02	Speckle	124.376	353.958	53.823	156.912
ENSG00000125818.17	PSMF1	protein_coding	+	57.12	49.98	Interior_Act2	109.65	88.25	Interior_Act2	0	12.7223	0	4.8312
ENSG00000125820.5	NKX2-2	protein_coding	-	0	0	Interior_Act2	0	0	Near_Lm1	47.264	0	23.1927	0
ENSG00000125821.12	DTD1	protein_coding	+	35.78	31.31	Near_Lm1	21.3	17.14	Near_Lm1	127.573	0	55.9853	0
ENSG00000125823.12	CSTL1	protein_coding	+	0	0	Interior_Act2	0	0	Near_Lm1	98.8976	14.3884	6.15178	14.8474
ENSG00000125826.20	RBCK1	protein_coding	+	29.39	25.72	Interior_Act2	115.42	92.89	Interior_Act2	190.292	52.0381	87.8984	19.1064
ENSG00000125827.8	TMX4	protein_coding	-	4.18	3.66	Near_Lm2	4.47	3.59	Interior_Act2	0	0	0	0
ENSG00000125831.9	CST11	protein_coding	-	0.21	0.19	Interior_Act2	0	0	Near_Lm1	0	0	0	0
ENSG00000125834.12	STK35	protein_coding	+	24.14	21.12	Interior_Act2	4.82	3.88	Interior_Act2	187.358	242.375	78.969	46.5285
ENSG00000125835.18	SNRPB	protein_coding	-	272.48	238.44	Interior_Act2	74.89	60.27	Interior_Act2	107.989	128.605	211.363	88.3029
ENSG00000125841.12	NRSN2	protein_coding	+	10.39	9.09	Interior_Act2	63.44	51.05	Interior_Act2	76.89	190.689	80.4298	130.858
ENSG00000125843.10	AP5S1	protein_coding	+	1.96	1.72	Speckle	7.89	6.35	Speckle	125.559	303.842	101.506	180.9
ENSG00000125844.15	RRBP1	protein_coding	-	84.16	73.65	Interior_Act1	128.18	103.16	Interior_Act2	149.913	338.945	62.5406	370.974
ENSG00000125845.6	BMP2	protein_coding	+	1.91	1.67	Near_Lm2	0	0	Near_Lm2	16.2661	27.6378	2.82355	10.6256
ENSG00000125846.15	ZNF133	protein_coding	+	6.5	5.68	Interior_Act2	16.07	12.93	Near_Lm1	136.875	138.843	34.2917	25.8369
ENSG00000125848.9	FLRT3	protein_coding	-	0.19	0.16	Near_Lm2	0	0	Near_Lm2	2.75799	0	0.68881	0
ENSG00000125850.10	OVOL2	protein_coding	-	6.1	5.34	Interior_Act1	0	0	Interior_Act2	167.403	4.01472	98.3037	1.63739
ENSG00000125851.9	PCSK2	protein_coding	+	1.04	0.91	Interior_Repr1	0	0	Near_Lm1	4.70734	0	1.07486	0
ENSG00000125861.14	GFRA4	protein_coding	-	0.06	0.05	Interior_Act2	0	0	Speckle	0	8.25448	0	4.61123
ENSG00000125863.19	MKKS	protein_coding	-	13.3	11.64	Interior_Repr1	5.82	4.68	Interior_Repr1	297.762	284.077	103.87	100.399
ENSG00000125864.13	BFSP1	protein_coding	-	1.36	1.19	Interior_Act1	2.74	2.2	Interior_Act2	615.179	951.676	607.535	1185.65
ENSG00000125868.15	DSTN	protein_coding	+	111.48	97.55	Interior_Act1	339.92	273.56	Interior_Act2	177.813	913.301	102.961	488.064
ENSG00000125869.9	LAMP5	protein_coding	+	0.12	0.1	Interior_Repr1	0	0	Interior_Repr1	0	0	0	0
ENSG00000125870.10	SNRPB2	protein_coding	+	54.51	47.7	Near_Lm2	44.86	36.1	Near_Lm2	19.8143	0	0.727851	0
ENSG00000125871.13	MGME1	protein_coding	+	31.69	27.73	Interior_Act1	7.54	6.07	Interior_Act2	171.557	250.138	103.496	131.278
ENSG00000125872.7	LRRN4	protein_coding	-	0.48	0.42	Interior_Repr1	0	0	Near_Lm1	39.3693	0	21.901	0
ENSG00000125875.13	TBC1D20	protein_coding	-	9.17	8.03	Interior_Act2	29.3	23.58	Interior_Act2	39.6799	8.67358	27.8124	2.73291
ENSG00000125877.12	ITPA	protein_coding	+	50.47	44.17	Speckle	29.29	23.57	Speckle	3479.88	0	274.8	0
ENSG00000125878.6	TCF15	protein_coding	-	3.7	3.24	Interior_Act2	0	0	Interior_Act2	22.6392	0	48.8879	0
ENSG00000125879.4	OTOR	protein_coding	+	0	0	Near_Lm2	0	0	Near_Lm2	0	0	0	0
ENSG00000125885.13	MCM8	protein_coding	+	17.15	15.01	Interior_Repr1	0.98	0.79	Near_Lm1	219.864	136.64	31.3898	9.06455
ENSG00000125888.14	BANF2	protein_coding	+	0	0	Interior_Act1	0	0	Interior_Act2	0	0	0	0
ENSG00000125895.5	TMEM74B	protein_coding	-	2.13	1.87	Interior_Act2	0	0	Interior_Act2	0.972564	0	0.182833	0
ENSG00000125898.12	FAM110A	protein_coding	+	5.85	5.12	Interior_Act2	1.9	1.53	Near_Lm1	4.13046	29.8189	3.45317	24.5106
ENSG00000125900.12	SIRPD	protein_coding	-	0	0	Interior_Act2	0	0	Interior_Act2	0	0	0	0
ENSG00000125901.5	MRPS26	protein_coding	+	55.39	48.47	Speckle	22.73	18.29	Speckle	128.654	0	52.4006	0
ENSG00000125903.4	DEFB129	protein_coding	+	0	0	Near_Lm1	0	0	Near_Lm1	0	0	0	0
ENSG00000125910.5	S1PR4	protein_coding	+	0	0	Speckle	0.06	0.05	Speckle	0.656696	0	0.52045	0
ENSG00000125912.10	NCLN	protein_coding	+	55.47	48.54	Speckle	40.26	32.4	Speckle	30.0688	0	12.1907	0
ENSG00000125931.10	CITED1	protein_coding	-	1.31	1.15	Interior_Act1	0.81	0.65	Interior_Repr1	41.4751	74.0044	28.6388	34.7786
ENSG00000125944.19	HNRNPR	protein_coding	-	115.11	100.73	Speckle	23.9	19.24	Speckle	2430.89	1236.09	450.297	310.15
ENSG00000125945.14	ZNF436	protein_coding	-	0.95	0.83	Speckle	3.92	3.15	Speckle	143.791	1076.66	75.3135	264.915
ENSG00000125952.18	MAX	protein_coding	-	34.98	30.61	Interior_Act1	31.89	25.67	Interior_Act2	100.49	84.654	10.6256	18.6126
ENSG00000125954.12	CHURC1-FNTB	protein_coding	+	15.9	13.91	Interior_Act1	0	0	Interior_Act2	0.333756	14.9917	2.98755	9.37692
ENSG00000125962.14	ARMCX5	protein_coding	+	5.86	5.13	Interior_Repr1	3.38	2.72	Interior_Repr1	0	83.8964	0	45.5538
ENSG00000125965.8	GDF5	protein_coding	-	0	0	Speckle	0	0	Speckle	317.27	187.43	210.383	76.9239
ENSG00000125966.9	MMP24	protein_coding	+	10.12	8.85	Speckle	0.58	0.47	Speckle	144.25	0	168.068	0
ENSG00000125967.16	NECAB3	protein_coding	-	10.98	9.61	Speckle	29.91	24.07	Speckle	65.1985	208.007	71.5691	87.9196
ENSG00000125968.8	ID1	protein_coding	+	64.31	56.28	Interior_Act2	185.22	149.06	Interior_Act2	874.927	962.658	356.09	671.913
ENSG00000125970.11	RALY	protein_coding	+	79.5	69.57	Speckle	73.79	59.39	Speckle	253.858	89.4297	144.166	101.565
ENSG00000125971.16	DYNLRB1	protein_coding	+	58.68	51.35	Speckle	346.67	279	Speckle	315.616	278.309	101.657	94.4595
ENSG00000125975.13	C20orf173	protein_coding	-	0	0	Speckle	0	0	Speckle	0	0	0	0
ENSG00000125977.6	EIF2S2	protein_coding	-	76.2	66.68	Speckle	71.66	57.67	Speckle	194.379	153.43	91.3634	105.523
ENSG00000125991.19	ERGIC3	protein_coding	+	95.75	83.79	Speckle	182	146.47	Speckle	294.194	0	186.284	0
ENSG00000125995.15	ROMO1	protein_coding	+	87.85	76.87	Speckle	108.04	86.95	Speckle	382.794	372.713	263.774	239.741
ENSG00000125998.7	FAM83C	protein_coding	-	0.02	0.01	Speckle	0	0	Speckle	0	0	0	0
ENSG00000125999.10	BPIFB1	protein_coding	+	0	0	Interior_Act2	0	0	Interior_Act2	1.76547	17.7953	0.619815	8.06567
