gene_id	gene_name	gene_type	strand	TPM.H1	FPKM.H1	SPIN.H1	TPM.HFF	FPKM.HFF	SPIN.HFF
ENSG00000128694.11	OSGEPL1	protein_coding	-	8.41	7.36	Interior_Act3	4.12	3.32	Interior_Act3
ENSG00000128699.13	ORMDL1	protein_coding	-	31.2	27.3	Interior_Act3	100.03	80.51	Interior_Act3
ENSG00000128708.12	HAT1	protein_coding	+	39.86	34.88	Interior_Act1	15.17	12.21	Interior_Act1
ENSG00000128709.12	HOXD9	protein_coding	+	0	0	Interior_Act3	10.39	8.36	Interior_Repr2
ENSG00000128710.5	HOXD10	protein_coding	+	0	0	Interior_Act3	20.78	16.73	Interior_Repr2
ENSG00000128713.13	HOXD11	protein_coding	+	0.03	0.03	Interior_Act3	11.62	9.35	Interior_Repr2
ENSG00000128714.5	HOXD13	protein_coding	+	0	0	Interior_Act3	0.24	0.19	Interior_Repr2
ENSG00000128731.16	HERC2	protein_coding	-	44.57	39.01	Near_Lm1	36.57	29.43	Near_Lm1
ENSG00000128739.22	SNRPN	protein_coding	+	486	425.29	Near_Lm1	95.47	76.84	Near_Lm1
ENSG00000128789.20	PSMG2	protein_coding	+	42.58	37.26	Interior_Act2	63.54	51.14	Interior_Act2
ENSG00000128791.11	TWSG1	protein_coding	+	10.64	9.31	Interior_Act1	23.74	19.11	Interior_Act2
ENSG00000128805.14	ARHGAP22	protein_coding	-	6.03	5.28	Interior_Act2	17.54	14.11	Interior_Act1
ENSG00000128815.19	WDFY4	protein_coding	+	0	0	Near_Lm1	0.04	0.03	Near_Lm1
ENSG00000128829.11	EIF2AK4	protein_coding	+	56.32	49.28	Interior_Act1	35.73	28.75	Speckle
ENSG00000128833.12	MYO5C	protein_coding	-	14.32	12.53	Interior_Repr1	0	0	Interior_Act1
ENSG00000128849.10	CGNL1	protein_coding	+	40.59	35.52	Interior_Repr1	0.01	0.01	Interior_Repr1
ENSG00000128872.9	TMOD2	protein_coding	+	3.49	3.06	Interior_Repr1	2.29	1.84	Interior_Act1
ENSG00000128881.16	TTBK2	protein_coding	-	9.79	8.56	Interior_Act2	3.04	2.45	Speckle
ENSG00000128886.11	ELL3	protein_coding	-	4.93	4.32	Interior_Act2	1.93	1.55	Speckle
ENSG00000128891.15	CCDC32	protein_coding	-	6.47	5.66	Speckle	10.64	8.56	Speckle
ENSG00000128908.16	INO80	protein_coding	-	13.15	11.51	Speckle	5.01	4.03	Speckle
ENSG00000128915.11	ICE2	protein_coding	-	46.88	41.02	Interior_Act1	27.84	22.41	Interior_Repr1
ENSG00000128917.7	DLL4	protein_coding	+	0.32	0.28	Speckle	0.03	0.02	Speckle
ENSG00000128918.14	ALDH1A2	protein_coding	-	0.13	0.11	Interior_Repr1	0.61	0.49	Interior_Act2
ENSG00000128923.10	MINDY2	protein_coding	+	13.78	12.06	Interior_Act1	4.62	3.72	Interior_Act1
ENSG00000128928.8	IVD	protein_coding	+	42.31	37.02	Speckle	32.42	26.09	Speckle
ENSG00000128944.13	KNSTRN	protein_coding	+	42.65	37.32	Speckle	10.88	8.76	Speckle
ENSG00000128951.13	DUT	protein_coding	+	132.12	115.61	Near_Lm2	25.97	20.9	Interior_Act3
ENSG00000128965.12	CHAC1	protein_coding	+	18.42	16.12	Speckle	91.42	73.57	Speckle
ENSG00000128973.12	CLN6	protein_coding	-	32.21	28.18	Speckle	10.9	8.77	Speckle
ENSG00000128989.10	ARPP19	protein_coding	-	147.36	128.95	Interior_Repr1	14.92	12	Interior_Act1
ENSG00000129003.17	VPS13C	protein_coding	-	10.11	8.85	Interior_Repr1	12.11	9.74	Interior_Act3
ENSG00000129007.14	CALML4	protein_coding	-	6.73	5.89	Interior_Act1	2.06	1.66	Interior_Act1
ENSG00000129009.12	ISLR	protein_coding	+	0.19	0.16	Speckle	7.8	6.27	Speckle
ENSG00000129028.8	THAP10	protein_coding	-	2.44	2.14	Interior_Repr1	3.61	2.91	Interior_Act1
ENSG00000129038.15	LOXL1	protein_coding	+	4.36	3.82	Speckle	242.01	194.77	Interior_Act2
ENSG00000129048.6	ACKR4	protein_coding	+	0	0	Interior_Repr1	1.96	1.58	Interior_Act3
ENSG00000129055.12	ANAPC13	protein_coding	-	18.24	15.96	Interior_Repr1	92.07	74.1	Interior_Act1
ENSG00000129071.9	MBD4	protein_coding	-	19.2	16.8	Speckle	21.07	16.96	Speckle
ENSG00000129083.12	COPB1	protein_coding	-	38.69	33.86	Interior_Repr1	69.93	56.28	Interior_Act1
ENSG00000129084.17	PSMA1	protein_coding	-	79.71	69.76	Interior_Repr1	91.95	74	Interior_Act3
ENSG00000129103.17	SUMF2	protein_coding	+	31.81	27.84	Near_Lm1	88.51	71.23	Interior_Repr1
ENSG00000129116.18	PALLD	protein_coding	+	13.44	11.76	Interior_Act3	31.31	25.2	Interior_Act3
ENSG00000129128.12	SPCS3	protein_coding	+	62.68	54.85	Lamina	22.37	18	Interior_Act3
ENSG00000129151.8	BBOX1	protein_coding	+	0	0	Lamina	0	0	Interior_Act1
ENSG00000129152.3	MYOD1	protein_coding	+	0	0	Interior_Repr1	0	0	Interior_Repr1
ENSG00000129158.10	SERGEF	protein_coding	-	15.49	13.55	Interior_Repr1	8.14	6.55	Interior_Repr1
ENSG00000129159.7	KCNC1	protein_coding	+	0.14	0.12	Interior_Repr1	0	0	Interior_Repr1
ENSG00000129167.9	TPH1	protein_coding	-	0.12	0.1	Interior_Repr1	0.12	0.09	Interior_Repr1
ENSG00000129170.9	CSRP3	protein_coding	-	0	0	Interior_Repr1	0	0	Interior_Repr2
ENSG00000129173.12	E2F8	protein_coding	-	6.1	5.34	Interior_Repr1	0.19	0.16	Interior_Repr2
ENSG00000129187.14	DCTD	protein_coding	-	37.32	32.66	Interior_Act3	82.12	66.09	Interior_Act1
ENSG00000129194.7	SOX15	protein_coding	-	7.68	6.72	Speckle	0.47	0.38	Speckle
ENSG00000129195.15	PIMREG	protein_coding	+	71.55	62.61	Speckle	5.07	4.08	Interior_Act2
ENSG00000129197.14	RPAIN	protein_coding	+	30.96	27.1	Speckle	25.67	20.66	Speckle
ENSG00000129204.16	USP6	protein_coding	+	0.17	0.15	Speckle	0.01	0.01	Speckle
ENSG00000129214.14	SHBG	protein_coding	+	0.64	0.56	Speckle	1.71	1.37	Speckle
ENSG00000129219.13	PLD2	protein_coding	+	25.97	22.73	Speckle	18.17	14.62	Speckle
ENSG00000129221.15	AIPL1	protein_coding	-	0.38	0.33	Speckle	0	0	Interior_Act2
ENSG00000129226.13	CD68	protein_coding	+	0.08	0.07	Speckle	17.73	14.27	Speckle
ENSG00000129235.10	TXNDC17	protein_coding	+	97.86	85.63	Speckle	107.28	86.34	Interior_Act2
ENSG00000129244.8	ATP1B2	protein_coding	+	11.25	9.85	Speckle	0	0	Speckle
ENSG00000129245.11	FXR2	protein_coding	-	14.08	12.33	Speckle	37.75	30.38	Speckle
ENSG00000129250.11	KIF1C	protein_coding	+	61.47	53.79	Speckle	44.81	36.06	Speckle
ENSG00000129255.15	MPDU1	protein_coding	+	33.94	29.7	Speckle	59.74	48.08	Speckle
ENSG00000129292.20	PHF20L1	protein_coding	+	12.55	10.98	Near_Lm2	16.4	13.2	Interior_Repr2
ENSG00000129295.8	LRRC6	protein_coding	-	1.6	1.4	Near_Lm2	1.22	0.98	Interior_Repr2
ENSG00000129315.10	CCNT1	protein_coding	-	24.65	21.57	Speckle	3.99	3.21	Speckle
ENSG00000129317.14	PUS7L	protein_coding	-	14.39	12.59	Near_Lm2	1.58	1.27	Interior_Repr2
ENSG00000129347.19	KRI1	protein_coding	-	24.25	21.22	Speckle	16.56	13.32	Speckle
ENSG00000129351.17	ILF3	protein_coding	+	373.32	326.69	Speckle	63.49	51.1	Speckle
ENSG00000129353.14	SLC44A2	protein_coding	+	64.18	56.16	Speckle	83.66	67.33	Speckle
ENSG00000129354.11	AP1M2	protein_coding	-	74.91	65.55	Speckle	0	0	Speckle
ENSG00000129355.6	CDKN2D	protein_coding	-	1.6	1.4	Speckle	2.85	2.3	Speckle
ENSG00000129422.14	MTUS1	protein_coding	-	5.17	4.53	Interior_Act3	0.48	0.38	Interior_Repr2
ENSG00000129437.10	KLK14	protein_coding	-	0.62	0.54	Interior_Act2	0.18	0.14	Interior_Act2
ENSG00000129450.8	SIGLEC9	protein_coding	+	0	0	Interior_Act2	0	0	Interior_Act2
ENSG00000129451.11	KLK10	protein_coding	-	2.56	2.24	Interior_Act2	0	0	Interior_Act2
ENSG00000129455.15	KLK8	protein_coding	-	1.58	1.39	Interior_Act2	0	0	Interior_Act2
ENSG00000129460.15	NGDN	protein_coding	+	26.2	22.93	Interior_Act2	22.16	17.83	Interior_Act2
ENSG00000129465.15	RIPK3	protein_coding	-	0.21	0.18	Interior_Act2	0	0	Interior_Act2
ENSG00000129467.13	ADCY4	protein_coding	-	0.19	0.16	Interior_Act2	0.6	0.48	Interior_Act2
ENSG00000129472.14	RAB2B	protein_coding	-	14	12.25	Interior_Act2	18.56	14.94	Interior_Act2
ENSG00000129473.9	BCL2L2	protein_coding	+	7.42	6.49	Interior_Act2	19.16	15.42	Interior_Act2
ENSG00000129474.15	AJUBA	protein_coding	-	24.68	21.6	Interior_Act2	44.85	36.1	Interior_Act2
ENSG00000129480.12	DTD2	protein_coding	-	10.46	9.16	Near_Lm2	9.36	7.54	Interior_Act2
ENSG00000129484.13	PARP2	protein_coding	+	22.38	19.59	Near_Lm1	16.91	13.61	Interior_Act2
ENSG00000129493.14	HEATR5A	protein_coding	-	19.44	17.02	Interior_Repr1	15.52	12.49	Interior_Act2
ENSG00000129514.5	FOXA1	protein_coding	-	0.11	0.09	Near_Lm2	1.07	0.86	Near_Lm2
ENSG00000129515.18	SNX6	protein_coding	-	38.2	33.42	Interior_Repr1	26.53	21.35	Interior_Act2
ENSG00000129518.8	EAPP	protein_coding	-	15.4	13.48	Interior_Repr1	33.95	27.32	Interior_Act2
ENSG00000129521.13	EGLN3	protein_coding	-	14.65	12.82	Near_Lm2	0	0	Near_Lm1
ENSG00000129534.13	MIS18BP1	protein_coding	-	43.2	37.8	Interior_Repr1	2.21	1.78	Interior_Act2
ENSG00000129535.12	NRL	protein_coding	-	0.58	0.5	Interior_Act2	0.74	0.59	Interior_Act2
ENSG00000129538.13	RNASE1	protein_coding	-	1.17	1.02	Interior_Act2	0	0	Interior_Act2
ENSG00000129559.12	NEDD8	protein_coding	-	135.98	119	Interior_Act2	241.4	194.27	Interior_Act2
ENSG00000129562.10	DAD1	protein_coding	-	70.46	61.66	Interior_Act2	176	141.64	Interior_Act2
ENSG00000129566.12	TEP1	protein_coding	-	5.77	5.05	Near_Lm1	16.98	13.67	Interior_Act2
ENSG00000129595.12	EPB41L4A	protein_coding	-	2.46	2.16	Interior_Act3	0.02	0.01	Interior_Repr2
ENSG00000129596.4	CDO1	protein_coding	-	14.04	12.28	Interior_Act3	0.05	0.04	Interior_Repr2
ENSG00000129625.12	REEP5	protein_coding	-	31.31	27.4	Interior_Act3	58.71	47.25	Interior_Act1
ENSG00000129636.12	ITFG1	protein_coding	-	11.91	10.42	Near_Lm1	34.07	27.42	Interior_Repr1
ENSG00000129646.14	QRICH2	protein_coding	-	1.48	1.29	Speckle	8.74	7.03	Speckle
ENSG00000129654.7	FOXJ1	protein_coding	-	2.88	2.52	Speckle	0	0	Speckle
ENSG00000129657.15	SEC14L1	protein_coding	+	39.95	34.96	Speckle	14.09	11.34	Speckle
ENSG00000129667.12	RHBDF2	protein_coding	-	13.88	12.15	Speckle	9.2	7.4	Speckle
ENSG00000129673.9	AANAT	protein_coding	+	0.12	0.11	Speckle	0.2	0.16	Speckle
ENSG00000129675.15	ARHGEF6	protein_coding	-	1.95	1.71	Interior_Act3	1.88	1.51	Interior_Repr1
ENSG00000129680.15	MAP7D3	protein_coding	-	10.5	9.19	Interior_Repr2	15.77	12.69	Interior_Repr1
ENSG00000129682.15	FGF13	protein_coding	-	19.38	16.96	Lamina	0	0	Interior_Repr2
ENSG00000129691.15	ASH2L	protein_coding	+	24.24	21.21	Interior_Act1	16.27	13.09	Speckle
ENSG00000129696.12	TTI2	protein_coding	-	11.48	10.04	Interior_Repr1	5.24	4.22	Interior_Repr1
ENSG00000129744.2	ART1	protein_coding	+	0	0	Interior_Act1	0	0	Interior_Act1
ENSG00000129749.3	CHRNA10	protein_coding	-	0.7	0.61	Interior_Act1	1.05	0.85	Interior_Act1
ENSG00000129757.13	CDKN1C	protein_coding	-	6.88	6.02	Speckle	0.66	0.53	Speckle
ENSG00000129810.14	SGO1	protein_coding	-	19.54	17.1	Interior_Act3	0.62	0.5	Interior_Repr2
ENSG00000129910.7	CDH15	protein_coding	+	0.44	0.38	Speckle	0	0	Speckle
ENSG00000129911.8	KLF16	protein_coding	-	24.64	21.56	Speckle	8.02	6.45	Speckle
ENSG00000129925.10	TMEM8A	protein_coding	-	46.63	40.81	Speckle	27.82	22.39	Speckle
ENSG00000129932.8	DOHH	protein_coding	-	9.49	8.31	Speckle	3.8	3.06	Speckle
ENSG00000129933.20	MAU2	protein_coding	+	21.92	19.18	Speckle	22.66	18.23	Speckle
ENSG00000129946.10	SHC2	protein_coding	-	2.36	2.07	Speckle	0	0	Speckle
ENSG00000129951.18	PLPPR3	protein_coding	-	38.5	33.69	Speckle	0	0	Speckle
ENSG00000129965.15	INS-IGF2	protein_coding	-	0	0	Interior_Act2	0	0	Interior_Act2
ENSG00000129968.15	ABHD17A	protein_coding	-	22.13	19.36	Speckle	41.48	33.38	Speckle
ENSG00000129988.5	LBP	protein_coding	+	0.34	0.29	Speckle	0	0	Speckle
ENSG00000129990.14	SYT5	protein_coding	-	0.19	0.17	Interior_Act2	0.27	0.22	Speckle
ENSG00000129991.12	TNNI3	protein_coding	-	9.06	7.92	Interior_Act2	0	0	Speckle
ENSG00000129993.14	CBFA2T3	protein_coding	-	0.68	0.6	Speckle	0	0	Speckle
ENSG00000130005.12	GAMT	protein_coding	-	9.25	8.1	Speckle	55.6	44.75	Speckle
ENSG00000130021.13	PUDP	protein_coding	-	14.62	12.79	Interior_Act3	3.67	2.95	Interior_Act1
ENSG00000130023.15	ERMARD	protein_coding	+	6.56	5.74	Interior_Act2	23.12	18.61	Interior_Repr1
ENSG00000130024.14	PHF10	protein_coding	-	27.44	24.01	Interior_Act2	13.84	11.14	Interior_Repr1
ENSG00000130032.15	PRRG3	protein_coding	+	2.89	2.53	Interior_Repr2	0	0	Interior_Repr2
ENSG00000130035.7	GALNT8	protein_coding	+	4.45	3.89	Interior_Act2	0	0	Near_Lm1
ENSG00000130037.4	KCNA5	protein_coding	+	0.11	0.1	Interior_Act2	0	0	Near_Lm1
ENSG00000130038.9	CRACR2A	protein_coding	-	1.72	1.5	Speckle	0	0	Near_Lm1
ENSG00000130045.16	NXNL2	protein_coding	+	1	0.87	Interior_Act1	6.19	4.98	Interior_Act1
ENSG00000130052.13	STARD8	protein_coding	+	2.06	1.8	Interior_Act2	0.67	0.54	Interior_Repr1
ENSG00000130054.4	FAM155B	protein_coding	+	8.39	7.34	Interior_Act2	0	0	Interior_Repr2
ENSG00000130055.13	GDPD2	protein_coding	+	13.76	12.05	Interior_Act2	0	0	Interior_Repr1
ENSG00000130066.16	SAT1	protein_coding	+	15.67	13.72	Interior_Act1	74.15	59.68	Interior_Act1
ENSG00000130119.15	GNL3L	protein_coding	+	38.21	33.43	Interior_Act2	4.17	3.35	Interior_Repr1
ENSG00000130147.15	SH3BP4	protein_coding	+	19.01	16.64	Interior_Act1	20.8	16.74	Interior_Repr1
ENSG00000130150.11	MOSPD2	protein_coding	+	6.48	5.67	Lamina	26.87	21.63	Interior_Act3
ENSG00000130158.13	DOCK6	protein_coding	-	29.37	25.7	Speckle	22.57	18.17	Speckle
ENSG00000130159.13	ECSIT	protein_coding	-	29.88	26.15	Speckle	27.38	22.04	Speckle
ENSG00000130164.13	LDLR	protein_coding	+	63.46	55.53	Speckle	5.39	4.34	Speckle
ENSG00000130165.10	ELOF1	protein_coding	-	45.2	39.55	Speckle	58.84	47.35	Speckle
ENSG00000130167.13	TSPAN16	protein_coding	+	0	0	Speckle	0	0	Speckle
ENSG00000130173.13	ANGPTL8	protein_coding	+	0	0	Speckle	0	0	Speckle
ENSG00000130175.9	PRKCSH	protein_coding	+	180.79	158.21	Speckle	294.63	237.11	Speckle
ENSG00000130176.7	CNN1	protein_coding	+	15.99	13.99	Speckle	116.29	93.59	Speckle
ENSG00000130177.15	CDC16	protein_coding	+	44.79	39.2	Interior_Act2	59.95	48.25	Speckle
ENSG00000130182.7	ZSCAN10	protein_coding	-	112.07	98.07	Speckle	0	0	Speckle
ENSG00000130193.7	THEM6	protein_coding	+	3.1	2.71	Interior_Act2	6.6	5.31	Interior_Repr1
ENSG00000130202.9	NECTIN2	protein_coding	+	98.76	86.42	Interior_Act2	91.22	73.41	Speckle
ENSG00000130203.9	APOE	protein_coding	+	337.87	295.67	Interior_Act2	3.5	2.81	Speckle
ENSG00000130204.12	TOMM40	protein_coding	+	96.18	84.17	Interior_Act2	26.41	21.25	Speckle
ENSG00000130208.9	APOC1	protein_coding	+	42.01	36.76	Interior_Act2	0.36	0.29	Speckle
ENSG00000130222.10	GADD45G	protein_coding	+	3.77	3.3	Interior_Act1	0.09	0.08	Interior_Repr1
ENSG00000130224.14	LRCH2	protein_coding	-	2.94	2.58	Interior_Repr2	1.85	1.49	Interior_Act3
ENSG00000130226.16	DPP6	protein_coding	+	3.65	3.19	Interior_Repr2	0	0	Interior_Repr2
ENSG00000130227.16	XPO7	protein_coding	+	59.24	51.84	Interior_Act2	17.66	14.21	Interior_Repr1
ENSG00000130234.10	ACE2	protein_coding	-	0.09	0.08	Interior_Act3	0	0	Interior_Repr2
ENSG00000130244.12	FAM98C	protein_coding	+	3.26	2.86	Speckle	10.19	8.2	Speckle
ENSG00000130254.11	SAFB2	protein_coding	-	34.23	29.95	Speckle	42.5	34.2	Speckle
ENSG00000130255.12	RPL36	protein_coding	+	576.94	504.87	Speckle	590.92	475.56	Speckle
ENSG00000130270.16	ATP8B3	protein_coding	-	2.22	1.95	Speckle	5.34	4.3	Speckle
ENSG00000130283.8	GDF1	protein_coding	-	1.65	1.45	Speckle	0	0	Speckle
ENSG00000130287.13	NCAN	protein_coding	+	1.46	1.28	Speckle	0	0	Speckle
ENSG00000130294.16	KIF1A	protein_coding	-	150.66	131.84	Interior_Act2	0	0	Interior_Act1
ENSG00000130299.16	GTPBP3	protein_coding	+	30.09	26.33	Speckle	11.8	9.49	Speckle
ENSG00000130300.8	PLVAP	protein_coding	-	0.29	0.25	Speckle	0	0	Speckle
ENSG00000130303.12	BST2	protein_coding	-	9.71	8.5	Speckle	0.4	0.32	Speckle
ENSG00000130304.16	SLC27A1	protein_coding	+	4.03	3.53	Speckle	8.62	6.94	Speckle
ENSG00000130305.16	NSUN5	protein_coding	-	30.19	26.42	Interior_Act2	10.35	8.33	Speckle
ENSG00000130307.11	USHBP1	protein_coding	-	4.02	3.51	Speckle	0	0	Speckle
ENSG00000130309.10	COLGALT1	protein_coding	+	24	21	Speckle	43.37	34.91	Speckle
ENSG00000130311.10	DDA1	protein_coding	+	18.54	16.22	Speckle	77.06	62.02	Speckle
ENSG00000130312.6	MRPL34	protein_coding	+	53.46	46.78	Speckle	47.07	37.88	Speckle
ENSG00000130313.6	PGLS	protein_coding	+	39.1	34.22	Speckle	128.75	103.62	Speckle
ENSG00000130332.14	LSM7	protein_coding	-	122.63	107.31	Speckle	83.12	66.9	Speckle
ENSG00000130338.12	TULP4	protein_coding	+	27.72	24.26	Interior_Act1	5.08	4.09	Interior_Act1
ENSG00000130340.15	SNX9	protein_coding	+	12.45	10.89	Interior_Act1	38.09	30.65	Interior_Act1
ENSG00000130347.12	RTN4IP1	protein_coding	-	10.46	9.15	Interior_Act1	3.13	2.52	Interior_Repr2
ENSG00000130348.11	QRSL1	protein_coding	+	11.9	10.41	Interior_Act1	4.39	3.53	Interior_Repr2
ENSG00000130349.9	C6orf203	protein_coding	+	9.24	8.09	Interior_Act1	21.02	16.92	Interior_Repr2
ENSG00000130363.11	RSPH3	protein_coding	-	1.45	1.27	Interior_Act1	3.43	2.76	Interior_Act1
ENSG00000130368.5	MAS1	protein_coding	+	0	0	Interior_Act1	0	0	Interior_Act1
ENSG00000130377.13	ACSBG2	protein_coding	+	0	0	Interior_Act2	2.2	1.77	Speckle
ENSG00000130382.8	MLLT1	protein_coding	-	24.19	21.17	Interior_Act2	49.71	40	Speckle
ENSG00000130383.7	FUT5	protein_coding	-	0	0	Interior_Act2	0	0	Speckle
ENSG00000130385.5	BMP15	protein_coding	+	0	0	Near_Lm1	0	0	Near_Lm1
ENSG00000130396.20	AFDN	protein_coding	+	103.01	90.14	Interior_Act1	8.58	6.91	Interior_Repr2
ENSG00000130402.11	ACTN4	protein_coding	+	279.16	244.28	Speckle	385.14	309.96	Speckle
ENSG00000130413.15	STK33	protein_coding	-	13.46	11.78	Interior_Act1	1.33	1.07	Interior_Repr1
ENSG00000130414.11	NDUFA10	protein_coding	-	48.62	42.55	Interior_Act2	41.28	33.22	Interior_Repr1
ENSG00000130427.2	EPO	protein_coding	+	0.51	0.44	Speckle	0	0	Speckle
ENSG00000130429.14	ARPC1B	protein_coding	+	34.65	30.32	Speckle	139.92	112.6	Speckle
ENSG00000130433.7	CACNG6	protein_coding	+	0.64	0.56	Speckle	0	0	Interior_Act2
ENSG00000130449.5	ZSWIM6	protein_coding	+	6.66	5.83	Interior_Repr1	11.15	8.98	Interior_Act3
ENSG00000130475.14	FCHO1	protein_coding	+	13.91	12.18	Speckle	0.45	0.36	Speckle
ENSG00000130477.15	UNC13A	protein_coding	-	25.54	22.35	Speckle	0.05	0.04	Speckle
ENSG00000130479.10	MAP1S	protein_coding	+	61.48	53.8	Speckle	35.24	28.36	Speckle
ENSG00000130487.7	KLHDC7B	protein_coding	+	0	0	Speckle	6.45	5.19	Speckle
ENSG00000130489.14	SCO2	protein_coding	-	7.82	6.84	Speckle	16.59	13.35	Speckle
ENSG00000130508.10	PXDN	protein_coding	-	75.45	66.03	Interior_Act1	82.16	66.12	Interior_Repr1
ENSG00000130511.15	SSBP4	protein_coding	+	14.16	12.4	Speckle	66.29	53.35	Speckle
ENSG00000130513.6	GDF15	protein_coding	+	2.18	1.9	Speckle	55.25	44.46	Speckle
ENSG00000130517.13	PGPEP1	protein_coding	+	17.93	15.69	Speckle	24.38	19.62	Speckle
ENSG00000130518.16	IQCN	protein_coding	-	0.56	0.49	Speckle	2.09	1.68	Speckle
ENSG00000130520.10	LSM4	protein_coding	-	171.3	149.9	Speckle	62.25	50.1	Speckle
ENSG00000130522.5	JUND	protein_coding	-	41.59	36.39	Speckle	92.9	74.77	Speckle
ENSG00000130528.11	HRC	protein_coding	-	1.24	1.08	Speckle	0	0	Speckle
ENSG00000130529.15	TRPM4	protein_coding	+	6.08	5.32	Speckle	33.18	26.7	Speckle
ENSG00000130538.5	OR11H1	protein_coding	+	0	0	Speckle	0	0	Speckle
ENSG00000130540.13	SULT4A1	protein_coding	-	4.91	4.3	Speckle	0	0	Near_Lm1
ENSG00000130544.11	ZNF557	protein_coding	+	3.95	3.46	Interior_Act2	2.22	1.79	Interior_Act2
ENSG00000130545.15	CRB3	protein_coding	+	11.31	9.9	Interior_Act2	0	0	Interior_Act2
ENSG00000130558.19	OLFM1	protein_coding	+	28.67	25.09	Speckle	0	0	Interior_Act2
ENSG00000130559.18	CAMSAP1	protein_coding	-	23.63	20.68	Speckle	2.78	2.24	Speckle
ENSG00000130560.8	UBAC1	protein_coding	-	31.82	27.85	Speckle	19.12	15.38	Speckle
ENSG00000130561.16	SAG	protein_coding	+	0	0	Interior_Act1	0	0	Interior_Repr1
ENSG00000130584.10	ZBTB46	protein_coding	-	12.01	10.51	Speckle	0.56	0.45	Speckle
ENSG00000130589.16	HELZ2	protein_coding	-	9.39	8.21	Speckle	2.97	2.39	Speckle
ENSG00000130590.13	SAMD10	protein_coding	-	1.61	1.41	Speckle	3	2.41	Speckle
ENSG00000130592.15	LSP1	protein_coding	+	0.39	0.34	Interior_Act2	0.14	0.11	Interior_Act2
ENSG00000130595.18	TNNT3	protein_coding	+	0	0	Interior_Act2	0	0	Interior_Act2
ENSG00000130598.15	TNNI2	protein_coding	+	0.16	0.14	Interior_Act2	0	0	Interior_Act2
ENSG00000130635.15	COL5A1	protein_coding	+	6.42	5.62	Interior_Act2	530.66	427.07	Speckle
ENSG00000130638.16	ATXN10	protein_coding	+	112.89	98.79	Speckle	140.62	113.17	Speckle
ENSG00000130640.13	TUBGCP2	protein_coding	-	27.85	24.37	Interior_Act2	28.4	22.86	Interior_Repr1
ENSG00000130643.8	CALY	protein_coding	-	0.69	0.61	Interior_Act2	0.18	0.15	Interior_Repr1
ENSG00000130649.9	CYP2E1	protein_coding	+	0	0	Interior_Act2	3.53	2.84	Interior_Repr1
ENSG00000130653.15	PNPLA7	protein_coding	-	0.25	0.22	Speckle	2.94	2.37	Speckle
ENSG00000130656.4	HBZ	protein_coding	+	0	0	Speckle	0	0	Speckle
ENSG00000130669.17	PAK4	protein_coding	+	34.57	30.25	Speckle	19.9	16.02	Speckle
ENSG00000130675.14	MNX1	protein_coding	-	0.21	0.19	Interior_Act1	0	0	Interior_Repr1
ENSG00000130684.13	ZNF337	protein_coding	-	3.55	3.11	Near_Lm1	11.57	9.31	Interior_Act2
ENSG00000130695.15	CEP85	protein_coding	+	21.69	18.98	Speckle	5.39	4.34	Speckle
ENSG00000130699.18	TAF4	protein_coding	-	16.14	14.12	Interior_Act2	3.03	2.44	Interior_Act2
ENSG00000130700.6	GATA5	protein_coding	-	0.06	0.05	Speckle	0	0	Interior_Act2
ENSG00000130701.3	RBBP8NL	protein_coding	-	0.23	0.2	Speckle	0	0	Interior_Act2
ENSG00000130702.15	LAMA5	protein_coding	-	120.8	105.71	Speckle	3.6	2.9	Interior_Act2
ENSG00000130703.16	OSBPL2	protein_coding	+	22.74	19.9	Speckle	12.41	9.99	Interior_Act2
ENSG00000130706.12	ADRM1	protein_coding	+	67.76	59.29	Speckle	67.39	54.23	Interior_Act2
ENSG00000130707.17	ASS1	protein_coding	+	58.15	50.88	Speckle	358.58	288.58	Speckle
ENSG00000130711.3	PRDM12	protein_coding	+	0.12	0.11	Speckle	0	0	Speckle
ENSG00000130713.15	EXOSC2	protein_coding	+	50.26	43.98	Speckle	7.97	6.41	Speckle
ENSG00000130714.15	POMT1	protein_coding	+	11.98	10.48	Speckle	21.18	17.04	Speckle
ENSG00000130717.12	UCK1	protein_coding	-	18.86	16.5	Speckle	17.72	14.26	Speckle
ENSG00000130720.12	FIBCD1	protein_coding	-	3.29	2.88	Speckle	7.42	5.97	Speckle
ENSG00000130723.19	PRRC2B	protein_coding	+	133.45	116.78	Speckle	35.91	28.9	Speckle
ENSG00000130724.8	CHMP2A	protein_coding	-	37.61	32.91	Interior_Act2	105.93	85.25	Interior_Act2
ENSG00000130725.7	UBE2M	protein_coding	-	61.19	53.55	Interior_Act2	63.65	51.22	Interior_Act2
ENSG00000130726.11	TRIM28	protein_coding	+	769.67	673.52	Interior_Act2	331.65	266.91	Speckle
ENSG00000130731.15	METTL26	protein_coding	-	53.75	47.04	Speckle	99.48	80.06	Speckle
ENSG00000130733.10	YIPF2	protein_coding	-	25.96	22.72	Speckle	64.97	52.29	Speckle
ENSG00000130734.9	ATG4D	protein_coding	+	23.45	20.52	Speckle	12.91	10.39	Speckle
ENSG00000130741.10	EIF2S3	protein_coding	+	138.89	121.54	Interior_Act1	70.1	56.42	Interior_Act1
ENSG00000130748.6	TMEM160	protein_coding	-	30.89	27.04	Speckle	11.01	8.86	Speckle
